	Article	Match
0	Aarhus	aarhus skyline, [[aarhus city hall]], [[isbjerget]], [[park allé, aarhus|park allé.]] | image_map = aarhus in the european union and denmark
1	Aarhus	aarhus city hall]], [[isbjerget]], [[park allé, aarhus|park allé.]] | image_map = aarhus in the european union and denmark
2	Aarhus	aarhus|park allé.]] | image_map = aarhus in the european union and denmark
3	Aarhus	aarhus in the european union and denmark.png | mapsize = 300px | map_caption = location of aarhus in the [[european union]] and denmark
4	Aarhus	aarhus in the [[european union]] and denmark
5	Aarhus	aarhus city seal from 1421 | nickname = {{nowrap|smilets by (city of smiles)}} | subdivision_type = country | subdivision_name = {{flag|denmark
6	Aarhus	aarhus]] | government_footnotes = | government_type = [[magistrate]] | leader_title = [[mayor]] | leader_name = [[jacob bundsgaard]] ([[social democrats (denmark
7	Aarhus	aarhus''' ({{ipa-da|ˈɒːhuːˀs|-|århus.ogg}}; officially spelled '''århus''' from 1948 until 31 december 2010) is the second-largest city in [[denmark
8	Aarhus	aarhus municipality]]. it is located on the east coast of the [[jutland]] peninsula, in the geographical centre of denmark
9	Aarhus	aarhus is home to the annual eight-day [[aarhus international jazz festival]], the [[spot (music festival)|spot festival]] and the [[northside festival (denmark
10	Aarhus	aarhus international jazz festival]], the [[spot (music festival)|spot festival]] and the [[northside festival (denmark
11	Aarhus	aarhus-aa|author=visit aarhus|title=the aarhus river|accessdate=26 june 2016|language=danish}}</ref><ref>{{cite web|url=http://www.visitaarhus.com/ln-int/denmark
12	Aarhus	aarhus|title=the aarhus river|accessdate=26 june 2016|language=danish}}</ref><ref>{{cite web|url=http://www.visitaarhus.com/ln-int/denmark
13	Aarhus	aarhus river|accessdate=26 june 2016|language=danish}}</ref><ref>{{cite web|url=http://www.visitaarhus.com/ln-int/denmark
14	Aarhus	aarhus is one of the oldest cities in denmark
15	Aarhus	aarhus set fra bakkerne i riis skov.jpg|right|thumb|view of aarhus, 1850.]] following the [[napoleonic wars]], denmark
16	Aarhus	aarhus, 1850.]] following the [[napoleonic wars]], denmark
17	Aarhus	aarhus' trade-based economy that lasted until the 1830s. the economy turned around as the [[history of denmark
18	Aarhus	aarhus theatre]] (1900), the [[state and university library, denmark
19	Aarhus	aarhus|bispetorv]] fighting with german soldiers, 5 may 1945]] on 9 april 1940, germany invaded denmark
20	Aarhus	aarhus city archives|aarhus city archives]]|accessdate=8 april 2016}}</ref> the first years were peaceful in conjunction with the policies of the danish [[denmark
21	Aarhus	aarhus city archives]]|accessdate=8 april 2016}}</ref> the first years were peaceful in conjunction with the policies of the danish [[denmark
22	Aarhus	aarhus-havn|title=70 aar siden eksplosionen|publisher=[[århus stiftstidende]]|accessdate=21 november 2014}}</ref> on 5 may 1945 german forces in denmark
23	Aarhus	aarhus byråd'') is also the municipal government. the [[mayor]] of aarhus until 2017 is [[jacob bundsgaard]] of the [[social democrats (denmark
24	Aarhus	aarhus until 2017 is [[jacob bundsgaard]] of the [[social democrats (denmark
25	Aarhus	aarhus county]] until the 2007 danish municipal reform, which substituted the danish counties with five regions and replaced aarhus county with [[central denmark
26	Aarhus	aarhus county with [[central denmark region]] (''region midtjylland''), seated in [[viborg, denmark
27	Aarhus	aarhus c]], [[aarhus n]], [[aarhus v]], [[viby j]], [[højbjerg]] and [[brabrand]]. === environmental planning === {{main article|energy in denmark
28	Aarhus	aarhus n]], [[aarhus v]], [[viby j]], [[højbjerg]] and [[brabrand]]. === environmental planning === {{main article|energy in denmark
29	Aarhus	aarhus v]], [[viby j]], [[højbjerg]] and [[brabrand]]. === environmental planning === {{main article|energy in denmark
30	Aarhus	aarhus universitet|accessdate=8 december 2014|language=danish}}</ref> aarhus has the highest ratio of immigrants in denmark
31	Aarhus	aarhus has the highest ratio of immigrants in denmark
32	Aarhus	"aarhus: economy"">{{cite web|url=http://bcg.thetimes.co.uk/europe/denmark/aarhus#/europe/denmark"
33	Aarhus	"aarhus: economy"">{{cite web|url=http://bcg.thetimes.co.uk/europe/denmark"
