	Article	Match
0	Apache Software Foundation	apache software foundation | logo = [[file:apache_software
1	Apache Software Foundation	apache software
2	Apache Software Foundation	apache_software
3	Apache Software Foundation	apache.org}} | dissolved = | footnotes = }} the '''apache software
4	Apache Software Foundation	apache software
5	Apache Software Foundation	apache software
6	Apache Software Foundation	apache software
7	Apache Software Foundation	apache software
8	Apache Software Foundation	apache software foundation is a decentralized open source community of developers. the software
9	Apache Software Foundation	apache software
10	Apache Software Foundation	apache license]] and is [[free and open-source software
11	Apache Software Foundation	apache projects and related technology. ==history== the history of the apache software
12	Apache Software Foundation	apache software
13	Apache Software Foundation	apache group. on march 25, 1999, the apache software
14	Apache Software Foundation	apache software foundation was formed.<ref name=incorporation/> the first official meeting of the apache software
15	Apache Software Foundation	apache software
16	Apache Software Foundation	apache software
17	Apache Software Foundation	apache software
18	Apache Software Foundation	apache software
19	Apache Software Foundation	apache software
20	Apache Software Foundation	"apache group"".<ref name="":0"" /> ==projects== {{see also|list of apache software"
21	Apache Software Foundation	apache software foundation projects}} apache divides its [[software
22	Apache Software Foundation	apache software
23	Apache Software Foundation	apache divides its [[software
24	Apache Software Foundation	apache software foundation | url = https://www.apache.org/foundation/bylaws.html | publisher = apache software
25	Apache Software Foundation	apache software
26	Apache Software Foundation	apache.org/foundation/bylaws.html | publisher = apache software
27	Apache Software Foundation	apache software
28	Apache Software Foundation	apache.org/licenses/#clas | publisher = apache software
29	Apache Software Foundation	apache software
30	Apache Software Foundation	apache+software+foundation%22+board+of+directors#v=onepage&q=%22apache%20software
31	Apache Software Foundation	apache+software
32	Apache Software Foundation	apache%20software
33	Apache Software Foundation	apache software
34	Apache Software Foundation	apache software
35	Apache Software Foundation	apache.org/foundation/records/990-2010.pdf|date=2011-09-14|title=apache software
36	Apache Software Foundation	apache software
37	Apache Software Foundation	apache software
38	Apache Software Foundation	apache}} {{foss}} {{authority control}} [[category:1999 establishments in maryland]] [[category:apache software
39	Apache Software Foundation	apache software foundation| ]] [[category:free and open-source software organizations]] [[category:free software
40	Apache Software Foundation	apache software foundation| ]] [[category:free and open-source software
41	Apache Software Foundation	apache software
0	ASL (disambiguation)	apache software license]], an open-source license for software
1	ASL (disambiguation)	apache software
0	Apache HTTP Server	apache software
1	Apache HTTP Server	apache.org/about_apache.html|title=about the apache http server project|publisher=[[apache software
2	Apache HTTP Server	apache.html|title=about the apache http server project|publisher=[[apache software
3	Apache HTTP Server	apache http server project|publisher=[[apache software
4	Apache HTTP Server	apache software
5	Apache HTTP Server	apache.org/docs/2.4/install.html|website=httpd.apache.org|publisher=the apache software
6	Apache HTTP Server	apache.org|publisher=the apache software
7	Apache HTTP Server	apache software
8	Apache HTTP Server	apache http server|agency=ohloh|publisher= black duck software
9	Apache HTTP Server	apache is developed and maintained by an open community of developers under the auspices of the [[apache software
10	Apache HTTP Server	apache software
11	Apache HTTP Server	apache remained the most widely used web server software
12	Apache HTTP Server	apache 2.2 series was considered significantly slower than [[nginx]] and [[varnish (software
13	Apache HTTP Server	apache http server [[codebase]] was [[software
14	Apache HTTP Server	apache.org/licenses/license-2.0.html|title=apache license, version 2.0|publisher=the apache software
15	Apache HTTP Server	apache license, version 2.0|publisher=the apache software
16	Apache HTTP Server	apache software
17	Apache HTTP Server	apache http server 1.3.31 and 2.0.49 were the first [[software
18	Apache HTTP Server	apache http server project is a collaborative software
19	Apache HTTP Server	apache software
20	Apache HTTP Server	apachebench]] * [[comparison of web server software]] * [[ibm http server]] * [[lamp (software
21	Apache HTTP Server	apachebench]] * [[comparison of web server software
22	Apache HTTP Server	apache}} {{web server software}} {{web interfaces}} {{authority control}} [[category:1995 software
23	Apache HTTP Server	apache}} {{web server software
24	Apache HTTP Server	apache software foundation|http server]] [[category:apache software
25	Apache HTTP Server	apache software
26	Apache HTTP Server	apache software foundation projects| ]] [[category:cross-platform free software]] [[category:free software
27	Apache HTTP Server	apache software foundation projects| ]] [[category:cross-platform free software
28	Apache HTTP Server	apache software
29	Apache HTTP Server	apache license]] [[category:unix network-related software]] [[category:web server software
30	Apache HTTP Server	apache license]] [[category:unix network-related software
0	Adobe Flash	apache software
0	Axis	apache axis]], an open source web service framework from the apache software
1	Axis	apache software
0	Amp	"apache, mysql and php"", software"
0	Attic (disambiguation)	apache attic]], a repository for apache software foundation software
1	Attic (disambiguation)	apache attic]], a repository for apache software
2	Attic (disambiguation)	apache software foundation software projects that have been retired * [[attic (backup software
3	Attic (disambiguation)	apache software foundation software
4	Attic (disambiguation)	apache software
0	Advogato	apache modules|apache module]] called ''mod virgule''. ''mod_virgule'' is free software
1	Advogato	apache module]] called ''mod virgule''. ''mod_virgule'' is free software
0	Apache Subversion	apache software
1	Apache Subversion	apache subversion''' (often abbreviated '''svn''', after its command name ''svn'') is a [[software
2	Apache Subversion	apache software
3	Apache Subversion	apache license]] since the 1.7 release; prior versions use a derivative of the apache software
4	Apache Subversion	apache software
5	Apache Subversion	apache incubator]], aiming to become part of the [[apache software
6	Apache Subversion	apache software
7	Apache Subversion	apache}} {{defaultsort:apache subversion}} [[category:apache software
8	Apache Subversion	apache subversion}} [[category:apache software foundation|subversion]] [[category:collaborative software
9	Apache Subversion	apache subversion}} [[category:apache software
10	Apache Subversion	apache software foundation|subversion]] [[category:collaborative software
11	Apache Subversion	apache software
0	Apache License	apache license | image = [[image:apache_software
1	Apache License	apache_software_foundation_logo_(2016).svg|250px]] | caption = the apache software
2	Apache License	apache_software
3	Apache License	apache software foundation logo | author = [[apache software
4	Apache License	apache software
